Timestamp,Drive ESC 1 Temp,Drive ESC 1 RPM,Drive ESC 1 Current,Drive ESC 1 Consumption,Drive ESC 1 Voltage,Drive ESC 2 Temp,Drive ESC 2 RPM,Drive ESC 2 Current,Drive ESC 2 Consumption,Drive ESC 2 Voltage,Weapon ESC Temp,Weapon ESC RPM,Weapon ESC Current,Weapon ESC Consumption,Weapon ESC Voltage,Arm ESC Temp,Arm ESC RPM,Arm ESC Current,Arm ESC Consumption,Arm ESC Voltage,Battery Voltage,Total Current,Total Consumption,Signal Strength
16_59_29_201835,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-104
16_59_29_352484,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-104
16_59_29_484080,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-104
16_59_29_535944,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-105
16_59_29_664646,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-105
16_59_29_703492,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-105
16_59_29_714207,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-105
16_59_29_846883,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-105
16_59_29_941989,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-104
16_59_30_078264,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-103
16_59_30_098214,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-104
16_59_30_193932,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-105
16_59_30_287167,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-107
16_59_30_380432,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-108
16_59_30_482162,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-111
16_59_30_511082,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-113
16_59_30_615804,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-112
16_59_30_718747,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-109
16_59_30_826238,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-108
16_59_30_920987,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-108
16_59_30_948648,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-107
16_59_31_083553,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-107
16_59_31_208219,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-107
16_59_31_235147,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-107
16_59_31_359814,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-107
16_59_31_388736,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-107
16_59_31_493460,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-107
16_59_31_597212,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-107
16_59_31_700902,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-109
16_59_31_795805,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-111
16_59_31_830557,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-108
16_59_31_961209,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-107
16_59_32_058980,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-108
16_59_32_176853,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-107
16_59_32_202567,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-107
16_59_32_335209,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-107
16_59_32_373105,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-107
16_59_32_512834,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-107
16_59_32_657408,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-107
16_59_32_682531,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-107
16_59_32_809937,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-107
16_59_32_836865,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-106
16_59_32_989460,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-106
16_59_33_017382,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-106
16_59_33_139151,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-106
16_59_33_166984,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-107
16_59_33_264754,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-107
16_59_33_365544,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-107
16_59_33_466183,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-107
16_59_33_560965,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-107
16_59_33_654027,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-105
